trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
5,08:11:00,08:11:00,node/6197929487,6,,,,,
5,08:12:00,08:12:00,node/6197947265,7,,,,,
5,08:13:00,08:13:00,node/6197947267,8,,,,,
5,08:13:51,08:13:51,node/6197947268,9,,,,,
5,08:15:00,08:15:00,node/6197947273,10,,,,,
5,08:18:00,08:18:00,node/6197929079,11,,,,,
4,07:52:00,07:52:00,node/6197929079,1,,,,,
4,07:54:00,07:54:00,node/6197929073,2,,,,,
4,07:55:00,07:55:00,node/6197929075,3,,,,,
4,07:56:00,07:56:00,node/6197929084,4,,,,,
4,07:57:00,07:57:00,node/6197929485,5,,,,,
4,07:58:00,07:58:00,node/6197929487,6,,,,,
4,07:59:00,07:59:00,node/6197947265,7,,,,,
4,08:00:00,08:00:00,node/6197947267,8,,,,,
4,08:00:51,08:00:51,node/6197947268,9,,,,,
4,08:02:00,08:02:00,node/6197947273,10,,,,,
4,08:05:00,08:05:00,node/6197929079,11,,,,,
7,08:31:00,08:31:00,node/6197929079,1,,,,,
7,08:33:00,08:33:00,node/6197929073,2,,,,,
7,08:34:00,08:34:00,node/6197929075,3,,,,,
7,08:35:00,08:35:00,node/6197929084,4,,,,,
7,08:36:00,08:36:00,node/6197929485,5,,,,,
7,08:37:00,08:37:00,node/6197929487,6,,,,,
7,08:38:00,08:38:00,node/6197947265,7,,,,,
7,08:39:00,08:39:00,node/6197947267,8,,,,,
7,08:39:51,08:39:51,node/6197947268,9,,,,,
7,08:41:00,08:41:00,node/6197947273,10,,,,,
7,08:44:00,08:44:00,node/6197929079,11,,,,,
6,08:18:00,08:18:00,node/6197929079,1,,,,,
6,08:20:00,08:20:00,node/6197929073,2,,,,,
6,08:21:00,08:21:00,node/6197929075,3,,,,,
6,08:22:00,08:22:00,node/6197929084,4,,,,,
6,08:23:00,08:23:00,node/6197929485,5,,,,,
6,08:24:00,08:24:00,node/6197929487,6,,,,,
6,08:25:00,08:25:00,node/6197947265,7,,,,,
6,08:26:00,08:26:00,node/6197947267,8,,,,,
6,08:26:51,08:26:51,node/6197947268,9,,,,,
6,08:28:00,08:28:00,node/6197947273,10,,,,,
6,08:31:00,08:31:00,node/6197929079,11,,,,,
9,08:57:00,08:57:00,node/6197929079,1,,,,,
9,08:59:00,08:59:00,node/6197929073,2,,,,,
9,09:00:00,09:00:00,node/6197929075,3,,,,,
9,09:01:00,09:01:00,node/6197929084,4,,,,,
9,09:02:00,09:02:00,node/6197929485,5,,,,,
9,09:03:00,09:03:00,node/6197929487,6,,,,,
9,09:04:00,09:04:00,node/6197947265,7,,,,,
9,09:05:00,09:05:00,node/6197947267,8,,,,,
9,09:05:51,09:05:51,node/6197947268,9,,,,,
9,09:07:00,09:07:00,node/6197947273,10,,,,,
9,09:10:00,09:10:00,node/6197929079,11,,,,,
8,08:44:00,08:44:00,node/6197929079,1,,,,,
8,08:46:00,08:46:00,node/6197929073,2,,,,,
8,08:47:00,08:47:00,node/6197929075,3,,,,,
8,08:48:00,08:48:00,node/6197929084,4,,,,,
8,08:49:00,08:49:00,node/6197929485,5,,,,,
8,08:50:00,08:50:00,node/6197929487,6,,,,,
8,08:51:00,08:51:00,node/6197947265,7,,,,,
8,08:52:00,08:52:00,node/6197947267,8,,,,,
8,08:52:51,08:52:51,node/6197947268,9,,,,,
8,08:54:00,08:54:00,node/6197947273,10,,,,,
8,08:57:00,08:57:00,node/6197929079,11,,,,,
51,18:35:00,18:35:00,node/6197929079,1,,,,,
51,18:37:00,18:37:00,node/6197929073,2,,,,,
51,18:38:00,18:38:00,node/6197929075,3,,,,,
51,18:39:00,18:39:00,node/6197929084,4,,,,,
51,18:40:00,18:40:00,node/6197929485,5,,,,,
51,18:41:00,18:41:00,node/6197929487,6,,,,,
51,18:42:00,18:42:00,node/6197947265,7,,,,,
51,18:43:00,18:43:00,node/6197947267,8,,,,,
51,18:43:51,18:43:51,node/6197947268,9,,,,,
51,18:45:00,18:45:00,node/6197947273,10,,,,,
51,18:48:00,18:48:00,node/6197929079,11,,,,,
39,15:59:00,15:59:00,node/6197929079,1,,,,,
39,16:01:00,16:01:00,node/6197929073,2,,,,,
39,16:02:00,16:02:00,node/6197929075,3,,,,,
39,16:03:00,16:03:00,node/6197929084,4,,,,,
39,16:04:00,16:04:00,node/6197929485,5,,,,,
